"STR_DIALOGUEFW_SET_OFF","hidden","hidden","skryto","ausgeblendet","скрыты","ukryte","rejtve","nascoste","ocultos","masquées","隱藏","非表示","ocultos","隐藏",
"STR_DIALOGUEFW_NOTIFY_TITLE","Dialogue","Dialogue","Dialog","Dialog","Диалог","Dialog","Párbeszéd","Dialogo","Diálogo","Dialogue","對話","会話","Diálogo","对话",
"STR_DIALOGUEFW_NOTIFY_CANTTAKE","You can't take that quest right now.","You can't take that quest right now.","Tento úkol si teď nemůžeš vzít.","Diese Aufgabe kannst du gerade nicht annehmen.","Сейчас вы не можете взять это задание.","Nie możesz teraz przyjąć tego zadania.","Ezt a küldetést most nem tudod elvállalni.","Non puoi accettare questo incarico adesso.","Ahora mismo no puedes aceptar esa misión.","Tu ne peux pas accepter cette quête pour le moment.","你現在無法接受這個任務。","今はこのクエストを受けられません。","Não pode aceitar essa missão neste momento.","你现在无法接受这个任务。",
"STR_DIALOGUEFW_NOTIFY_BADOPTION","That option isn't set up correctly. The server owner can find the reason in the log.","That option isn't set up correctly. The server owner can find the reason in the log.","Tato možnost není správně nastavená. Důvod najde správce serveru v logu.","Diese Option ist nicht richtig eingerichtet. Der Serverbetreiber findet den Grund im Log.","Этот вариант настроен неправильно. Владелец сервера найдёт причину в логе.","Ta opcja jest źle skonfigurowana. Właściciel serwera znajdzie powód w logu.","Ez a lehetőség nincs jól beállítva. A szerver üzemeltetője a naplóban látja az okát.","Questa opzione non è configurata bene. Il gestore del server trova il motivo nel log.","Esa opción no está bien configurada. El dueño del servidor verá el motivo en el registro.","Cette option est mal configurée. Le propriétaire du serveur trouvera la raison dans le journal.","這個選項設定有誤，伺服器管理員可在日誌中找到原因。","この選択肢は正しく設定されていません。サーバー管理者はログで原因を確認できます。","Esta opção não está bem configurada. O dono do servidor encontra o motivo no registo.","这个选项设置有误，服务器管理员可在日志中找到原因。",
"STR_DIALOGUEFW_LANGNAME_ENGLISH","English","English","English","English","English","English","English","English","English","English","English","English","English","English",
"STR_DIALOGUEFW_LANGNAME_CZECH","Čeština","Čeština","Čeština","Čeština","Čeština","Čeština","Čeština","Čeština","Čeština","Čeština","Čeština","Čeština","Čeština","Čeština",
"STR_DIALOGUEFW_LANGNAME_GERMAN","Deutsch","Deutsch","Deutsch","Deutsch","Deutsch","Deutsch","Deutsch","Deutsch","Deutsch","Deutsch","Deutsch","Deutsch","Deutsch","Deutsch",
"STR_DIALOGUEFW_LANGNAME_RUSSIAN","Русский","Русский","Русский","Русский","Русский","Русский","Русский","Русский","Русский","Русский","Русский","Русский","Русский","Русский",
"STR_DIALOGUEFW_LANGNAME_POLISH","Polski","Polski","Polski","Polski","Polski","Polski","Polski","Polski","Polski","Polski","Polski","Polski","Polski","Polski",
"STR_DIALOGUEFW_LANGNAME_HUNGARIAN","Magyar","Magyar","Magyar","Magyar","Magyar","Magyar","Magyar","Magyar","Magyar","Magyar","Magyar","Magyar","Magyar","Magyar",
"STR_DIALOGUEFW_LANGNAME_ITALIAN","Italiano","Italiano","Italiano","Italiano","Italiano","Italiano","Italiano","Italiano","Italiano","Italiano","Italiano","Italiano","Italiano","Italiano",
"STR_DIALOGUEFW_LANGNAME_SPANISH","Español","Español","Español","Español","Español","Español","Español","Español","Español","Español","Español","Español","Español","Español",
"STR_DIALOGUEFW_LANGNAME_FRENCH","Français","Français","Français","Français","Français","Français","Français","Français","Français","Français","Français","Français","Français","Français",
"STR_DIALOGUEFW_LANGNAME_CHINESE","繁體中文","繁體中文","繁體中文","繁體中文","繁體中文","繁體中文","繁體中文","繁體中文","繁體中文","繁體中文","繁體中文","繁體中文","繁體中文","繁體中文",
"STR_DIALOGUEFW_LANGNAME_JAPANESE","日本語","日本語","日本語","日本語","日本語","日本語","日本語","日本語","日本語","日本語","日本語","日本語","日本語","日本語",
"STR_DIALOGUEFW_LANGNAME_PORTUGUESE","Português","Português","Português","Português","Português","Português","Português","Português","Português","Português","Português","Português","Português","Português",
"STR_DIALOGUEFW_LANGNAME_CHINESESIMP","简体中文","简体中文","简体中文","简体中文","简体中文","简体中文","简体中文","简体中文","简体中文","简体中文","简体中文","简体中文","简体中文","简体中文",
